ACM	A C Moore	
AAP	A&P	
ALB	Albertson’s	
AMZ	Amazon	
ANR	Angus & Robertson	
APC	Apple Computer stores	
ASD	Asda	
AUD	Audible	
BDL	B Dalton	
BNO	Barnes & Noble	
BBB	Bed Bath & Beyond	
BST	Best Buy	
BJW	BJ’s Wholesale Club	
BLK	Blackwell’s	
BCA	Book Club Associates	
BKP	Bookpeople	
BKM	Books-A-Million	
BRD	Borders	
BRB	Borders/Books Etc	
BRT	British Bookshops	
CST	Costco	
CRB	Crate & Barrel	
CVS	CVS Drug Stores	
DSG	Dick’s Sporting Goods	
DYM	Dymocks	
ELC	Early Learning Centre	
ESN	Eason	
ENH	English Heritage	
FRY	Fry’s Electronics	
GMS	Gamestop	
HST	Hastings Entertainment	
HMV	HMV	
HMD	Home Depot	
IND	Indigo-Chapters	
JSM	John Smith & Son	
KMT	K-Mart	
KRG	Kroger	
LWE	Lowe’s	
MKS	Marks & Spencer	
MCR	Microcenter	
MRR	Morrisons	
MTC	Mothercare	
NTR	National Trust	
OFD	Office Depot	
OFM	Office Max	
PST	Past Times	
PTS	Pet Smart	
PTC	Petco	
PLY	Play.com	
PTB	Pottery Barn	
RST	Restoration Hardware	
RTZ	Ritz Camera	
SFW	Safeway	
SNS	Sainsbury’s	
SLF	Selfridges	
STP	Staples	
TRG	Target	
TES	Tesco	
TSR	Toys ‘R’ Us	
TSO	TSO (The Stationery Office)	
VRG	Virgin Megastores	
WHS	W H Smith	
WTR	Waitrose	
WLM	Wal-Mart	
WST	Waterstone’s	
WHT	Whitcoul’s	
WLS	Williams Sonoma	
WLW	Woolworths	
ZVV	Zavvi	Formerly Virgin Megastores (UK)
ZZZ	Other	Include retailer name in <SalesOutletName>
