01	Android	An Open Source mobile device operating system originally developed by Google and supported by the Open Handset Alliance
02	BlackBerry OS	A proprietary operating system supplied by Research In Motion for its BlackBerry handheld devices
03	iPhone OS	A proprietary operating system based on Mac OS X supplied by Apple for its iPhone and iPod Touch handheld devices
04	Linux	An operating system based on the Linux kernel
05	Mac OS	A proprietary operating system supplied by Apple on Macintosh computers up to 2002
06	Mac OS X	A proprietary operating system supplied by Apple on Macintosh computers up to 2002
07	Palm OS	A proprietary operating system (aka Garnet OS) originally developed for handheld devices
08	Palm webOS	A Linux-based operating system for handheld devices
09	Symbian	An operating system for hand-held devices, originally developed as a proprietary system, but planned to become wholly Open Source by 2010
10	Windows	A proprietary operating system supplied by Microsoft
11	Windows CE	A proprietary operating system (aka Windows Embedded Compact, WinCE) supplied by Microsoft for small-scale devices
12	Windows Mobile	A proprietary operating system supplied by Microsoft for mobile devices
