01	Front cover	
02	Back cover	
03	Cover / pack	Not limited to front or back
04	Contributor picture	Photograph or portrait of contributor(s)
05	Series image / artwork	
06	Series logo	
07	Product image / artwork	
08	Product logo	
09	Publisher logo	
10	Imprint logo	
11	Author interview	
12	Author presentation	Author presentation and/or commentary
13	Author reading	
14	Author event schedule	
15	Sample content	For example: sample chapter text, page images, screenshots
16	Widget	A ‘look inside’ feature presented as a small embeddable application
17	Review	
18	Other commentary / discussion	
19	Reading group guide	
20	Teacher’s guide	
21	Feature article	Feature article provided by publisher
22	Character ‘interview’	Fictional character ‘interview’
23	Wallpaper / screensaver	
24	Press release	
