000	Epublication “content package”	An epublication viewed as a unique package of content which may be converted into any of a number of different types for delivery to the consumer. This code is used when an ONIX <Product> record describes the content package and lists within the record the different forms in which it is available.
001	HTML	An epublication delivered in a basic, unprotected, HTML format. Do NOT use for HTML-based formats which include DRM protection.
002	PDF	An epublication delivered in a basic, unprotected, PDF format. Do NOT use for PDF-based formats which include DRM protection.
003	PDF-Merchant	An epublication delivered in PDF format, capable of being read in the standard Acrobat Reader, and protected by PDF-Merchant DRM features. (This format is no longer supported for new applications.)
004	Adobe Ebook Reader	An epublication delivered in an enhanced PDF format, using Adobe’s proprietary EBX DRM, capable of being read in the Adobe Ebook Reader software, on any platform which can support this software, which was formerly known as Glassbook.
005	Microsoft Reader Level 1/Level 3	An epublication delivered in an unencrypted Microsoft .LIT format, capable of being read in the Microsoft Reader software at any level, on any platform which can support this software. (Level 3 differs from Level 1 only in that it embeds the name of the original purchaser.)
006	Microsoft Reader Level 5	An epublication delivered in the Microsoft .LIT format, with full encryption, capable of being read in the Microsoft Reader software at Level 5, on any platform which can support this software.
007	NetLibrary	An epublication delivered in a proprietary HTML- or OEBF-based format, capable of being read only through subscription to the NetLibrary service.
008	MetaText	An epublication delivered in a proprietary format through a web browser, capable of being read only through subscription to the MetaText service (the educational division of NetLibrary)
009	MightyWords	An epublication delivered in a proprietary PDF-based format, capable of being read only through subscription to the MightyWords service.
010	Palm Reader	An epublication delivered in a proprietary HTML-based format, capable of being read in reading software which may be used on handheld devices using the Palm OS or Pocket PC/Windows CE operating systems.
011	Softbook	An epublication delivered in a proprietary format capable of being read in reading software which is specific to the Softbook hardware platform. Also capable of being read on the Softbook’s successor, the Gemstar REB 1200.
012	RocketBook	An epublication delivered in a proprietary .RB format, capable of being read in reading software which is specific to the RocketBook hardware platform. Also capable of being read on the RocketBook’s successor, the Gemstar REB 1100.
013	Gemstar REB 1100	An epublication delivered in a proprietary .RB format, capable of being read in reading software which is specific to the Gemstar REB 1100 hardware platform. Also capable of being read on the RocketBook with some loss of functionality.
014	Gemstar REB 1200	An epublication delivered in a proprietary format, capable of being read in reading software which is specific to the Gemstar REB 1200 hardware platform. Also capable of being read on the Softbook with some loss of functionality.
015	Franklin eBookman	An epublication delivered in Franklin’s proprietary HTML-based format, capable of being read in reading software which is specific to the Franklin eBookman platform.
016	Books24x7	An epublication delivered in a proprietary XML-based format and available for online access only through subscription to the Books24x7 service.
017	DigitalOwl	An epublication available through DigitalOwl proprietary packaging, distribution and DRM software, delivered in a variety of formats across a range of platforms.
018	Handheldmed	An epublication delivered in a proprietary HTML-based format, capable of being read in Handheldmed reader software on Palm OS, Windows, and EPOC/Psion handheld devices, available only through the Handheldmed service.
019	WizeUp	An epublication delivered in a proprietary ???-based format and available for download only through the WizeUp service.
020	TK3	An epublication delivered in the proprietary TK3 format, capable of being read only in the TK3 reader software supplied by Night Kitchen Inc, on any platform which can support this software.
021	Litraweb	An epublication delivered in an encrypted .RTF format, capable of being read only in the Litraweb Visor software, and available only from Litraweb.com.
022	MobiPocket	An epublication delivered in a proprietary format, capable of being read in the MobiPocket software on PalmOS, WindowsCE /Pocket PC, Franklin eBookman, and EPOC32 handheld devices, available only through the MobiPocket service.
023	Open Ebook	An epublication delivered in the standard distribution format specified in the Open Ebook Publication Structure (OEBPS) format and capable of being read in any OEBPS-compliant reading system.
024	Town Compass DataViewer	An epublication delivered in a proprietary format, capable of being read in Town Compass DataViewer reader software on a Palm OS handheld device.
025	TXT	An epublication delivered in an openly available .TXT format, with ASCII or UTF-8 encoding, as used for example in Project Gutenberg
026	ExeBook	An epublication delivered as a self-executing file including its own reader software, and created with proprietary ExeBook Self-Publisher software
027	Sony BBeB	An epublication delivered in a proprietary format, capable of being read on a Sony Reader handheld device
028	VitalSource Bookshelf	
029	Adobe Digital Editions	
030	MyiLibrary	
031	Kindle	
098	Multiple formats	Product consists of parts in different formats
099	Unspecified	Unknown, or no code yet assigned for this format
