A101	CD standard audio format	CD 'red book' format
A102	SACD super audio format	
A103	MP3 format	
A104	WAV format	
A105	Real Audio format	
A106	WMA	Windows Media Audio format
A107	AAC	Advanced Audio Coding format
A108	Ogg/Vorbis	Vorbis audio format in the Ogg container
A109	Audible	Audio format proprietary to Audible.com
A110	FLAC	Free lossless audio codec
A111	AIFF	Audio Interchangeable File Format
A112	ALAC	Apple Lossless Audio Codec
A201	DAISY 2: full audio with title only (no navigation)	
A202	DAISY 2: full audio with navigation	
A203	DAISY 2: full audio with navigation and partial text	
A204	DAISY 2: full audio and full text	
A205	DAISY 2: full text and some audio	
A206	DAISY 2: full text and no audio	
A207	DAISY 3: full audio with title only (no navigation)	
A208	DAISY 3: full audio with navigation	
A209	DAISY 3: full audio with navigation and partial text	
A210	DAISY 3: full audio and full text	
A211	DAISY 3: full text and some audio	
A212	DAISY 3: full text and no audio	
B101	Mass market (rack) paperback	In North America, a category of paperback characterized partly by page size (typically 4¼ x 7 1/8 inches) and partly by target market and terms of trade. Use with Product Form code BC.
B102	Trade paperback (US)	In North America, a category of paperback characterized partly by page size and partly by target market and terms of trade. AKA 'quality paperback', and including textbooks. Most paperback books sold in North America except 'mass-market' (B101) and 'tall rack' (B107) are correctly described with this code. Use with Product Form code BC.
B103	Digest format paperback	In North America, a category of paperback characterized by page size and generally used for children's books; use with Product Form code BC. Note: was wrongly shown as B102 (duplicate entry) in Issue 3.
B104	A-format paperback	In UK, a category of paperback characterized by page size (normally 178 x 111 mm approx); use with Product Form code BC
B105	B-format paperback	In UK, a category of paperback characterized by page size (normally 198 x 129 mm approx); use with Product Form code BC
B106	Trade paperback (UK)	In UK, a category of paperback characterized partly by size (usually in traditional hardback dimensions), and often used for paperback originals; use with Product Form code BC (replaces 'C-format' from former List 8)
B107	Tall rack paperback (US)	In North America, a category of paperback characterised partly by page size and partly by target market and terms of trade; use with Product Form code BC
B108	A5: Tankobon	Japanese hardcover format
B109	B5: Tankobon	Japanese hardcover format
B110	B6: Tankobon	Japanese hardcover format
B111	A6: Bunko	Japanese paperback format
B112	B40-dori: Shinsho	Japanese paperback format
B113	Pocket (Sweden)	A Swedish paperback format, use with Product Form Code BC
B114	Storpocket (Sweden)	A Swedish paperback format, use with Product Form Code BC
B115	Kartonnage (Sweden)	A Swedish hardback format, use with Product Form Code BB
B116	Flexband (Sweden)	A Swedish softback format, use with Product Form Code BC
B201	Coloring / join-the-dot book	
B202	Lift-the-flap book	
B204	Miniature book	Note: was wrongly shown as B203 (duplicate entry) in Issue 3
B205	Moving picture / flicker book	
B206	Pop-up book	
B207	Scented / 'smelly' book	
B208	Sound story / 'noisy' book	
B209	Sticker book	
B210	Touch-and-feel book	A book whose pages have a variety of textured inserts designed to stimulate tactile exploration: see also B214 and B215
B212	Die-cut book	A book which is cut into a distinctive non-rectilinear shape and/or in which holes or shapes have been cut internally. (‘Die-cut’ is used here as a convenient shorthand, and does not imply strict limitation to a particular production process.)
B213	Book-as-toy	A book which is also a toy, or which incorporates a toy as an integral part. (Do not, however, use B213 for a multiple-item product which includes a book and a toy as separate items.)
B214	Soft-to-touch book	A book whose cover has a soft textured finish, typically over board
B215	Fuzzy-felt book	A book with detachable felt pieces and textured pages on which they can be arranged
B221	Picture book	Children's picture book: use with applicable Product Form code
B301	Loose leaf - sheets & binder	Use with Product Form code BD
B302	Loose leaf - binder only	Use with Product Form code BD
B303	Loose leaf - sheets only	Use with Product Form code BD
B304	Sewn	AKA stitched; for 'saddle-sewn', see code B310
B305	Unsewn / adhesive bound	Including 'perfect bound', 'glued'
B306	Library binding	Strengthened binding intended for libraries
B307	Reinforced binding	Strengthened binding, not specifically intended for libraries
B308	Half bound	Must be accompanied by a code specifiying a material, eg 'half-bound real leather'
