aar	Afar	
abk	Abkhaz	
ace	Achinese	
ach	Acoli	
ada	Adangme	
ady	Adygei	
afa	Afroasiatic languages	
afh	Afrihili (Artificial language)	
afr	Afrikaans	
ain	Ainu	
aka	Akan	
akk	Akkadian	
alb	Albanian	
ale	Aleut	
alg	Algonquian languages	
alt	Southern Altai	
amh	Amharic	
ang	English, Old (ca. 450-1100)	
anp	Angika	
apa	Apache languages	
ara	Arabic	
arc	Official Aramaic; Imperial Aramaic (700-300 BCE)	
arg	Aragonese Spanish	
arm	Armenian	
arn	Mapudungun; Mapuche	
arp	Arapaho	
art	Artificial languages	
arw	Arawak	
asm	Assamese	
ast	Asturian; Bable; Leonese; Asturleonese	
ath	Athapascan languages	
aus	Australian languages	
ava	Avaric	
ave	Avestan	
awa	Awadhi	
aym	Aymara	
aze	Azerbaijani	
bad	Banda languages	
bai	Bamileke languages	
bak	Bashkir	
bal	Baluchi	
bam	Bambara	
ban	Balinese	
baq	Basque	
bas	Basa	
bat	Baltic languages	
bej	Beja; Bedawiyet	
bel	Belarusian	
bem	Bemba	
ben	Bengali	
ber	Berber languages	
bho	Bhojpuri	
bih	Bihari	
bik	Bikol	
bin	Bini; Edo	
bis	Bislama	
bla	Siksika	
bnt	Bantu languages	
bos	Bosnian	
bra	Braj	
bre	Breton	
btk	Batak languages	
bua	Buriat	
bug	Bugis	
bul	Bulgarian	
bur	Burmese	
byn	Blin; Bilin	
cad	Caddo	
cai	Central American Indian languages	
car	Galibi Carib	
cat	Catalan	
cau	Caucasian languages	
ceb	Cebuano	
cel	Celtic languages	
cha	Chamorro	
chb	Chibcha	
che	Chechen	
chg	Chagatai	
chi	Chinese	
chk	Truk	
chm	Mari	
chn	Chinook jargon	
cho	Choctaw	
chp	Chipewyan; Dene Suline	
chr	Cherokee	
chu	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	
chv	Chuvash	
chy	Cheyenne	
cmc	Chamic languages	
cop	Coptic	
cor	Cornish	
cos	Corsican	
cpe	Creoles and pidgins, English-based	
cpf	Creoles and pidgins, French-based	
