01	Berkshire leather	Pigskin
02	Calfskin	
03	French Morocco	Calf split or sheep split
04	Morocco	Goatskin
05	Bonded buffalo grain	
06	Bonded calf grain	
07	Bonded Cordova	
08	Bonded eelskin	
09	Bonded Ostraleg	
10	Bonded ostrich	
11	Bonded reptile grain	
12	Bonded leather	
13	Cowhide	
14	Eelskin	
15	Kivar	
16	Leatherflex	
17	Moleskin	
18	Softhide leather	
19	Metal	
20	Velvet	German 'Samt'
21	Mother-of-pearl	Spanish 'nácar'
22	Papyrus	
23	Géltex	An imitation cloth binding material
24	Guaflex	An imitation leather binding material
